,image_id,patch_id,xmin,ymin,xmax,ymax
0,10722,0,896,678,1152,934
1,10722,1,2225,429,2481,685
2,10722,2,3213,613,3469,869
3,10722,3,3298,612,3554,868
4,10722,4,2670,1053,2926,1309
5,4348,0,1617,1163,1873,1419
6,4348,1,2391,1988,2647,2244
7,4348,2,1411,1537,1667,1793
8,4348,3,330,656,586,912
9,4348,4,2209,612,2465,868
10,9311,0,984,819,1240,1075
11,9311,1,2989,2104,3245,2360
12,9311,2,1026,2123,1282,2379
13,9311,3,1965,2325,2221,2581
14,9311,4,779,1699,1035,1955
15,2489,0,438,20,694,276
16,2489,1,1787,454,2043,710
17,2489,2,2031,1022,2287,1278
18,2489,3,2233,1067,2489,1323
19,2489,4,3251,653,3507,909
20,10952,0,670,564,926,820
21,10952,1,1213,565,1469,821
22,10952,2,360,262,616,518
23,10952,3,2764,278,3020,534
24,10952,4,664,872,920,1128
25,7852,0,1683,1435,1939,1691
26,7852,1,1568,712,1824,968
27,7852,2,1155,672,1411,928
28,7852,3,3214,726,3470,982
29,7852,4,339,546,595,802
30,581,0,1765,347,2021,603
31,581,1,1323,288,1579,544
32,581,2,1224,1167,1480,1423
33,581,3,1918,387,2174,643
34,581,4,937,107,1193,363
35,7453,0,2542,1600,2798,1856
36,7453,1,1960,482,2216,738
37,7453,2,3184,875,3440,1131
38,7453,3,1406,1196,1662,1452
39,7453,4,1354,1368,1610,1624
40,11690,0,2503,545,2759,801
41,11690,1,1755,1756,2011,2012
42,11690,2,1635,131,1891,387
43,11690,3,1856,1073,2112,1329
44,11690,4,2768,1653,3024,1909
45,6441,0,2453,993,2709,1249
46,6441,1,483,61,739,317
47,6441,2,1823,469,2079,725
48,6441,3,1344,1140,1600,1396
49,6441,4,1972,868,2228,1124
50,1610,0,1386,480,1642,736
51,1610,1,3506,113,3762,369
52,1610,2,955,347,1211,603
53,1610,3,2938,1126,3194,1382
54,1610,4,3600,405,3856,661
55,3381,0,3038,978,3294,1234
56,3381,1,1131,1094,1387,1350
57,3381,2,663,1292,919,1548
58,3381,3,507,762,763,1018
59,3381,4,1172,1281,1428,1537
60,559,0,1918,1524,2174,1780
61,559,1,2674,1070,2930,1326
62,559,2,716,899,972,1155
63,559,3,1499,13,1755,269
64,559,4,1581,533,1837,789
65,1197,0,949,1728,1205,1984
66,1197,1,1394,1578,1650,1834
67,1197,2,986,559,1242,815
68,1197,3,2925,1862,3181,2118
69,1197,4,2211,1914,2467,2170
70,4133,0,1074,1220,1330,1476
71,4133,1,3114,1642,3370,1898
72,4133,2,1761,0,2017,256
73,4133,3,2473,605,2729,861
74,4133,4,2694,682,2950,938
75,6632,0,1982,1722,2238,1978
76,6632,1,2251,1932,2507,2188
77,6632,2,2690,815,2946,1071
78,6632,3,2430,270,2686,526
