,image_id,patch_id,xmin,ymin,xmax,ymax
0,10722,0,1337,212,1593,468
1,10722,1,1921,20,2177,276
2,10722,2,10,418,266,674
3,10722,3,1384,188,1640,444
4,10722,4,1491,508,1747,764
5,4348,0,300,170,556,426
6,4348,1,123,456,379,712
7,4348,2,1719,565,1975,821
8,4348,3,892,315,1148,571
9,4348,4,1282,253,1538,509
10,9311,0,2110,219,2366,475
11,9311,1,1587,478,1843,734
12,9311,2,225,29,481,285
13,9311,3,1419,940,1675,1196
14,9311,4,1156,798,1412,1054
15,2489,0,1520,140,1776,396
16,2489,1,468,682,724,938
17,2489,2,1453,151,1709,407
18,2489,3,1529,1109,1785,1365
19,2489,4,2923,303,3179,559
20,10952,0,635,58,891,314
21,10952,1,29,486,285,742
22,10952,2,1388,728,1644,984
23,10952,3,878,442,1134,698
24,10952,4,2120,423,2376,679
25,7852,0,1420,123,1676,379
26,7852,1,1343,1165,1599,1421
27,7852,2,1124,806,1380,1062
28,7852,3,1220,149,1476,405
29,7852,4,2139,527,2395,783
30,581,0,1387,534,1643,790
31,581,1,796,144,1052,400
32,581,2,231,396,487,652
33,581,3,1212,35,1468,291
34,581,4,1363,138,1619,394
35,7453,0,1420,747,1676,1003
36,7453,1,1513,369,1769,625
37,7453,2,1480,680,1736,936
38,7453,3,1799,739,2055,995
39,7453,4,511,752,767,1008
40,11690,0,755,472,1011,728
41,11690,1,1565,84,1821,340
42,11690,2,1113,94,1369,350
43,11690,3,1393,173,1649,429
44,11690,4,1808,285,2064,541
45,6441,0,1221,122,1477,378
46,6441,1,32,111,288,367
47,6441,2,530,239,786,495
48,6441,3,311,328,567,584
49,6441,4,1990,181,2246,437
50,1610,0,354,519,610,775
51,1610,1,1348,68,1604,324
52,1610,2,785,614,1041,870
53,1610,3,1954,452,2210,708
54,1610,4,2049,0,2305,256
55,3381,0,973,336,1229,592
56,3381,1,1790,867,2046,1123
57,3381,2,477,388,733,644
58,3381,3,788,161,1044,417
59,3381,4,1520,716,1776,972
60,559,0,2126,203,2382,459
61,559,1,920,593,1176,849
62,559,2,2185,154,2441,410
63,559,3,1529,842,1785,1098
64,559,4,1117,25,1373,281
65,1197,0,573,844,829,1100
66,1197,1,1542,384,1798,640
67,1197,2,1100,1198,1356,1454
68,1197,3,1192,755,1448,1011
69,1197,4,2350,390,2606,646
70,4133,0,1703,866,1959,1122
71,4133,1,1974,638,2230,894
72,4133,2,1639,628,1895,884
73,4133,3,1227,75,1483,331
74,4133,4,1158,98,1414,354
75,6632,0,1146,367,1402,623
76,6632,1,103,114,359,370
77,6632,2,988,426,1244,682
78,6632,3,644,94,900,350
79,6632,4,430,138,686,394
80,4796,0,1617,817,1873,1073
81,4796,1,1156,412,1412,668
82,4796,2,2563,107,2819,363
83,4796,3,908,388,1164,644
84,4796,4,2442,292,2698,548
85,355,0,230,636,486,892
86,355,1,808,413,1064,669
87,355,2,1352,790,1608,1046
88,355,3,949,505,1205,761
89,355,4,1864,483,2120,739
90,4577,0,1455,718,1711,974
91,4577,1,1669,638,1925,894
92,4577,2,890,197,1146,453
93,4577,3,119,687,375,943
94,4577,4,2159,214,2415,470
95,3633,0,1860,600,2116,856
96,3633,1,415,83,671,339
97,3633,2,2510,532,2766,788
98,3633,3,2611,710,2867,966
99,3633,4,1862,144,2118,400
100,7606,0,1258,198,1514,454
101,7606,1,684,183,940,439
102,7606,2,579,186,835,442
103,7606,3,209,166,465,422
104,7606,4,665,460,921,716
105,8382,0,1735,680,1991,936
106,8382,1,860,436,1116,692
107,8382,2,677,272,933,528
108,8382,3,1435,342,1691,598
109,8382,4,655,633,911,889
110,3289,0,1637,597,1893,853
111,3289,1,388,452,644,708
112,3289,2,906,60,1162,316
113,3289,3,1001,666,1257,922
114,3289,4,435,351,691,607
115,5187,0,1957,255,2213,511
116,5187,1,675,16,931,272
117,5187,2,1751,248,2007,504
118,5187,3,2090,455,2346,711
119,5187,4,1037,8,1293,264
120,11007,0,1495,102,1751,358
121,11007,1,456,113,712,369
122,11007,2,1800,273,2056,529
123,11007,3,615,354,871,610
124,11007,4,1479,39,1735,295
125,2121,0,1152,184,1408,440
126,2121,1,641,582,897,838
127,2121,2,1055,551,1311,807
128,2121,3,1311,216,1567,472
129,2121,4,1689,547,1945,803
130,4242,0,1251,360,1507,616
131,4242,1,750,34,1006,290
132,4242,2,2263,142,2519,398
133,4242,3,1085,435,1341,691
134,4242,4,910,205,1166,461
135,9496,0,1182,606,1438,862
136,9496,1,718,188,974,444
137,9496,2,2529,59,2785,315
138,9496,3,999,243,1255,499
139,9496,4,2012,135,2268,391
140,10658,0,903,580,1159,836
141,10658,1,726,426,982,682
142,10658,2,216,169,472,425
143,10658,3,973,667,1229,923
144,10658,4,1028,605,1284,861
145,7267,0,1354,696,1610,952
146,7267,1,1046,61,1302,317
147,7267,2,1306,604,1562,860
148,7267,3,1353,10,1609,266
149,7267,4,881,71,1137,327
150,7572,0,773,205,1029,461
151,7572,1,1125,71,1381,327
152,7572,2,2117,289,2373,545
153,7572,3,1506,607,1762,863
154,7572,4,798,316,1054,572
155,3951,0,677,317,933,573
156,3951,1,1536,480,1792,736
157,3951,2,627,196,883,452
158,3951,3,1086,162,1342,418
159,3951,4,1082,145,1338,401
160,12325,0,2156,203,2412,459
161,12325,1,1755,13,2011,269
162,12325,2,1588,370,1844,626
163,12325,3,673,394,929,650
164,12325,4,618,436,874,692
165,8849,0,937,544,1193,800
166,8849,1,1868,30,2124,286
167,8849,2,233,43,489,299
168,8849,3,1519,215,1775,471
169,8849,4,1531,397,1787,653
170,5402,0,1387,452,1643,708
171,5402,1,1172,283,1428,539
